artist,album,release year,rating
eu,duis mattis egestas,1997,2
quam a odio,erat,1973,4
facilisi cras non,ut tellus nulla,1951,2
quam sapien,molestie hendrerit at,1912,1
duis,lectus,1917,5
quis,ultrices,1918,3
amet consectetuer adipiscing,et ultrices,1951,1
ut,maecenas,1925,4
vulputate elementum nullam,sit amet,1922,2
dictumst maecenas ut,aliquet massa id,1977,5
maecenas leo odio,condimentum,1970,2
diam vitae quam,ipsum primis in,2008,2
venenatis tristique fusce,praesent blandit nam,1984,5
iaculis diam,donec,2004,4
orci vehicula,semper rutrum nulla,1950,2
scelerisque mauris,sit amet diam,1955,2
donec diam,eu magna vulputate,1951,2
orci,nisi vulputate nonummy,1922,2
justo eu massa,velit id,1949,1
lorem ipsum,a,1948,4
quam,elementum,1975,5
in,lacus purus,2006,5
sed vestibulum sit,libero convallis eget,1918,3
turpis sed,porta volutpat quam,1930,4
vel,urna pretium nisl,1922,2
scelerisque quam turpis,mauris,1946,2
turpis a,nec sem duis,1959,1
consectetuer,adipiscing,1939,3
vestibulum velit,enim,1922,4
venenatis tristique fusce,vivamus vestibulum,2005,1
nulla mollis molestie,erat volutpat,1973,2
sapien cursus,nibh quisque id,1956,1
et,non,1990,2
nisi at,integer a,1982,4
lobortis,consequat,2010,2
turpis enim,duis,1926,3
neque,nam congue,1904,2
ultrices erat tortor,justo,2001,2
massa,nulla mollis molestie,1908,5
posuere,pellentesque at nulla,1962,5
diam erat fermentum,maecenas leo odio,1926,1
leo rhoncus sed,pede venenatis non,1976,2
cubilia curae,rhoncus aliquet pulvinar,1995,1
tellus semper,vitae nisi,1922,2
neque vestibulum,nunc proin at,1902,4
enim sit amet,et ultrices,2010,4
metus sapien,platea dictumst etiam,1994,1
at nibh,metus vitae,1943,3
sed,vulputate,1970,3
iaculis diam erat,urna ut,2015,5
justo nec,lobortis,1983,1
lobortis,interdum,1977,1
in leo maecenas,sem praesent id,1940,1
molestie lorem quisque,nulla quisque,1993,1
orci vehicula,sapien,1969,5
lorem ipsum,ac neque,1967,5
odio donec,non interdum,1925,4
semper est,lacinia aenean sit,1938,4
nulla integer pede,a ipsum,1960,4
turpis nec euismod,quis turpis,1946,4
cubilia curae,orci luctus,1922,2
ipsum aliquam,ac enim,1927,1
amet,sit,1985,1
vestibulum ante,suspendisse accumsan tortor,1977,4
proin risus praesent,ligula sit amet,1964,5
cubilia,felis donec,1939,1
sapien,dapibus,1902,2
tincidunt lacus at,magna vulputate luctus,1900,2
dui vel,mauris,2014,1
luctus,lacus at,1911,5
convallis nulla,in quis justo,1911,4
nunc viverra dapibus,eu,1917,3
ultrices,blandit ultrices,1953,3
phasellus in felis,vestibulum eget vulputate,1941,3
at,fusce posuere,1964,3
est lacinia,integer a,1964,1
non pretium quis,enim,1965,4
in imperdiet,turpis sed,2011,2
diam nam,porttitor lorem,1938,5
suscipit a,neque duis bibendum,1981,5
quis odio consequat,proin leo,1914,2
rutrum neque,odio consequat varius,1969,2
non ligula pellentesque,vestibulum,1902,1
tempus vivamus,potenti,1965,3
in sagittis dui,sagittis nam,1981,5
nisl nunc,cubilia,1985,1
congue risus semper,amet consectetuer adipiscing,1981,5
leo,fusce lacus purus,2002,5
porttitor lorem id,tempor,1976,1
vel,morbi a,1983,4
mi integer ac,ut,1997,3
tellus,vivamus metus arcu,2009,5
nulla,in faucibus,1973,4
quis augue luctus,aenean lectus,2004,5
suscipit ligula in,ridiculus mus etiam,1997,4
dolor vel est,ut erat curabitur,1982,3
faucibus orci luctus,eu felis,1916,3
sit amet nulla,quisque,1948,2
aliquam augue,tristique tortor,2004,2
quam pharetra magna,eget orci,1901,2
feugiat non,nisl nunc,2013,1
tellus in,elementum pellentesque quisque,1930,3
mi pede,turpis a,1978,1
dui proin leo,id pretium,1986,1
nulla ut erat,at diam nam,1936,3
nibh,eleifend donec,1944,1
cubilia curae,lorem,1932,1
aliquam,in,1945,5
nulla nunc purus,sem,1938,1
mi in porttitor,mi,1979,3
lobortis sapien sapien,aliquam lacus morbi,1985,2
vitae mattis nibh,justo,1978,4
in lacus,id nisl venenatis,1955,2
at,leo pellentesque ultrices,1963,2
dapibus at,vel,1914,3
cubilia,nulla,1922,2
nulla,potenti cras,1913,3
venenatis tristique fusce,eget,1939,5
orci mauris,purus eu,1953,3
tincidunt nulla,convallis,1923,5
blandit,augue aliquam erat,1942,5
lobortis ligula sit,mi sit amet,1962,1
fusce posuere,et,1916,3
sit amet,at lorem,1938,5
bibendum,pede,1965,3
velit donec,consequat,2012,2
ultrices posuere cubilia,curabitur gravida nisi,1984,2
curae nulla dapibus,id pretium iaculis,1911,4
libero,neque,1931,4
neque libero,diam,1995,5
turpis donec posuere,lorem ipsum,1949,3
ac,vulputate luctus,1911,3
amet turpis,nam congue risus,1970,1
amet consectetuer,curae,1999,1
id nulla,varius,1908,4
vestibulum ante ipsum,cum sociis,2010,4
sapien,sit amet erat,1975,3
justo,varius nulla facilisi,1961,2
rutrum ac,dui maecenas tristique,1992,3
vitae,pellentesque,1900,3
auctor,sit,1988,2
purus eu,pulvinar lobortis,1976,5
sodales sed,lobortis convallis,1978,3
at lorem integer,facilisi cras non,1970,2
magna ac,et magnis dis,1989,5
semper,erat,1945,2
nulla tellus,sit amet sapien,1978,1
volutpat erat quisque,erat,1993,5
et eros vestibulum,convallis nulla,2006,5
at vulputate,vitae,1994,2
velit vivamus vel,sit amet sapien,1901,4
faucibus,ut,1937,2
justo,viverra,1987,5
sed augue aliquam,sed justo pellentesque,1911,3
vivamus vel,ut,1922,4
vitae nisl aenean,dui nec nisi,1907,1
cras,diam erat fermentum,1919,1
pellentesque viverra pede,erat tortor,1985,5
purus phasellus in,adipiscing elit proin,1928,4
amet nunc viverra,in libero,1926,4
pellentesque quisque,hac,1910,5
ipsum aliquam,morbi sem mauris,1977,4
ipsum ac tellus,libero,1978,5
ut massa quis,tristique fusce,1962,2
odio elementum eu,dui,1987,1
nulla sed,et,2014,3
nulla elit ac,amet,1928,5
consequat,tellus,1964,2
imperdiet sapien urna,porttitor,1960,2
eget massa,posuere cubilia curae,2000,3
viverra diam vitae,sapien sapien,1918,1
eros,odio elementum eu,1903,3
morbi odio odio,sapien quis libero,1961,4
tristique tortor,ipsum primis in,1935,4
ac,leo odio condimentum,2009,5
fermentum,dui,2013,1
primis in faucibus,in sagittis,1968,1
luctus,turpis elementum ligula,1922,5
porta volutpat quam,vestibulum,1957,2
lorem integer tincidunt,vulputate,1902,4
sed tristique,nulla quisque arcu,1910,1
dapibus at,quisque arcu,1902,1
lectus aliquam sit,vestibulum ante,1995,4
potenti cras,eget rutrum,1966,5
felis,porta,1922,1
felis ut,enim,1929,1
elementum,dui luctus,1920,2
rhoncus,tellus nisi,1992,3
rutrum nulla,montes nascetur ridiculus,1926,1
ac,faucibus orci,1963,1
eros,praesent lectus,1933,2
metus vitae ipsum,adipiscing elit proin,1903,4
quis orci,parturient,1921,1
mi integer,quisque porta volutpat,1903,2
in felis,eu felis fusce,1981,5
faucibus,sit,1909,4
augue luctus tincidunt,mattis pulvinar nulla,1916,4
hac habitasse,eu pede,1983,4
enim lorem ipsum,suspendisse ornare,1925,5
vestibulum,est et,1912,4
consectetuer,odio curabitur,1911,3
metus aenean,facilisi cras,1926,5
at,vestibulum ante,1985,4
orci vehicula condimentum,donec ut,1957,2
velit id pretium,nunc,1930,1
nulla elit,quisque id,1958,4
sed,ipsum primis,1990,2
vel nulla,magnis dis,1915,5
vitae,orci nullam molestie,1992,4
mi nulla ac,tincidunt nulla mollis,1987,1
hac,condimentum,1962,5
natoque,sit amet,1961,1
feugiat non,mattis pulvinar,1914,1
quam turpis adipiscing,orci nullam,1949,4
justo eu,vivamus vestibulum,1952,2
et,platea dictumst,1940,4
nisi,porttitor lacus,2013,5
quam turpis,platea dictumst,1904,1
eu,consequat nulla,2014,3
ipsum primis,at,1909,1
justo etiam,tincidunt eu felis,2008,2
lobortis ligula sit,adipiscing elit proin,1953,4
diam nam,pede,1957,5
